filename,transcription,word
child-daddy367,daddy gonna wear it,daddy
child-daddy368,yyy daddy yyy,daddy
child-daddy369,i talk to daddy,daddy
child-daddy370,it looks like daddy,daddy
child-daddy371,daddy,daddy
child-daddy372,daddy's got a small school,daddy
child-daddy373,daddy doing a daddy,daddy
child-daddy374,at daddy office,daddy
child-daddy375,daddy tiny baby,daddy
child-daddy376,daddy,daddy
child-daddy377,daddy's working outside,daddy
child-daddy378,and what's um um um yyy what's a little yyy daddy and mommy and lily,daddy
child-daddy379,daddy,daddy
child-daddy380,daddy mommy xxx no room what's this,daddy
child-daddy381,go upstairs daddy,daddy
child-daddy382,the other daddy finds his mommy and daddy,daddy
child-daddy383,dad daddy dad,daddy
child-daddy384,daddy,daddy
child-daddy385,so they and the campers go there so they went down by rope into the camp so the mommy and daddy came back from finders and they wouldn't be left aren't they smart,daddy
child-daddy386,daddy,daddy
child-daddy387,hi daddy,daddy
child-daddy388,i'm gonna ask daddy mom,daddy
child-daddy389,i go on the bus with daddy,daddy
child-daddy390,pwease pwease daddy,daddy
child-daddy391,daddy mommy,daddy
child-daddy392,daddy i'm two and a half,daddy
child-daddy393,daddy daddy daddy,daddy
child-daddy394,give it daddy card naima card,daddy
child-daddy395,daddy,daddy
child-daddy396,that xxx daddy,daddy
child-daddy397,daddy,daddy
child-daddy398,daddy,daddy
child-daddy399,where's daddy,daddy
child-daddy400,daddy,daddy
child-daddy401,daddy,daddy
child-daddy402,and that's daddy,daddy
child-daddy403,my daddy,daddy
child-daddy404,these are daddy's,daddy
child-daddy405,who's the daddy,daddy
child-daddy406,daddy,daddy
child-daddy407,this one is for daddy,daddy
child-daddy408,daddy,daddy
child-daddy409,daddy daddy daddy,daddy
child-daddy410,xxx daddy,daddy
child-daddy411,daddy takes off and takes a bath,daddy
child-daddy412,um um daddy,daddy
child-daddy413,what's this daddy,daddy
child-daddy414,daddy's body,daddy
child-daddy415,daddy,daddy
child-daddy416,daddy turns up turns that record over,daddy
child-daddy417,yyy the daddy,daddy
child-daddy418,a xxx daddy,daddy
child-daddy419,daddy have you fixed the chocolate chip cookies yet,daddy
child-daddy420,remember when mommy got mad at daddy what did you do,daddy
child-daddy421,help me feed you daddy,daddy
child-daddy422,daddy's at work,daddy
child-daddy423,for daddy from nai ee,daddy
child-daddy424,with yyy daddy,daddy
child-daddy425,daddy's going to stay here,daddy
child-daddy426,and then next time daddy let's have three,daddy
child-daddy427,daddy buy food the cafeteria,daddy
child-daddy428,yeah and this is the daddy,daddy
child-daddy429,xxx xxx daddy putting on his jacket,daddy
child-daddy430,you won't get my daddy bear,daddy
child-daddy431,daddy yyy daddy,daddy
child-daddy432,uh be up daddy,daddy
child-daddy433,daddy,daddy
child-daddy434,let's read a book about his mommy and his daddy,daddy
child-daddy435,daddy,daddy
child-daddy436,un daddy,daddy
child-daddy437,yyy daddy's pictures,daddy
child-daddy438,thankyou daddy,daddy
child-daddy439,for daddy from naima,daddy
child-daddy440,xxx xxx no daddy ta ta take xxx apart xxx you put you you,daddy
child-daddy441,daddy's chair,daddy
child-daddy442,daddy,daddy
child-daddy443,daddy bear,daddy
child-daddy444,daddy,daddy
child-daddy445,and she takes me to mcdonalds and daddy took me to the other mcdonalds,daddy
child-daddy446,i did big poo daddy do you wanna come and see it,daddy
child-daddy447,oh daddy,daddy
child-daddy448,and daddy's gotta work friday,daddy
child-daddy449,daddy,daddy
child-daddy450,okay good ross that was very nice now daddy is going to go back and look at that thing again okay,daddy
child-daddy451,my daddy,daddy
child-daddy452,the pool the pool swimming daddy,daddy
child-daddy453,it's too little for me daddy,daddy
child-daddy454,my daddy and mommy says no ba,daddy
child-daddy455,i didn't see it in daddy's car or your car mommy,daddy
child-daddy456,yyy daddy,daddy
child-daddy457,there's daddy,daddy
child-daddy458,look_it on this daddy,daddy
child-daddy459,daddy that's too much,daddy
child-daddy460,right in the bag where's the mommy and the daddy where is it,daddy
child-daddy461,daddy give it to me for a minute please,daddy
child-daddy462,thankyou daddy,daddy
child-daddy463,mummy daddy,daddy
child-daddy464,thankyou daddy,daddy
child-daddy465,daddy you turned into a dinosaur,daddy
child-daddy466,daddy,daddy
child-daddy467,is daddy,daddy
child-daddy468,daddy,daddy
child-daddy469,daddy's um um um at work mommy,daddy
child-daddy470,daddy,daddy
child-daddy471,daddy's gonna come too,daddy
child-daddy472,he likes to spend times with daddy,daddy
child-daddy473,why the egg yolk daddy can eat,daddy
child-daddy474,thankyou daddy,daddy
child-daddy475,smells like a daddy,daddy
child-daddy476,enne daddy sing,daddy
child-daddy477,i eat my bread up daddy,daddy
child-daddy478,daddy too,daddy
child-daddy479,and i see the pole and and daddy ride and him and he stand,daddy
child-daddy480,daddy,daddy
child-daddy481,yyy daddy yyy william mom,daddy
child-daddy482,daddy might taste,daddy
child-daddy483,but i'm happy at my daddy,daddy
child-daddy484,mommy was in the back and daddy was in the front too,daddy
child-daddy485,yyy that's a mommy that's a daddy,daddy
child-daddy486,daddy eating,daddy
child-daddy487,and daddy my mommy,daddy
child-daddy488,daddy,daddy
child-daddy489,daddy xxx,daddy
child-daddy490,daddy,daddy
child-daddy491,daddy,daddy
child-daddy492,daddy daddy daddy daddy daddy daddy,daddy
child-daddy493,i'm sorry daddy,daddy
child-daddy494,daddy go away i'm going away xxx,daddy
child-daddy495,pick a daddy,daddy
child-daddy496,daddy play,daddy
child-daddy497,thankyou daddy,daddy
child-daddy498,xxx mommy daddy,daddy
child-daddy499,he's in a cage because he wanna see his mommy and daddy,daddy
child-daddy500,i can hear daddy,daddy
child-daddy501,daddy can't come in,daddy
child-daddy502,yyy hula hula hula daddy,daddy
child-daddy503,daddy,daddy
child-daddy504,daddy,daddy
child-daddy505,i want it daddy,daddy
child-daddy506,more ketchup daddy,daddy
child-daddy507,yyy what's daddy having,daddy
child-daddy508,uh cocoa daddy,daddy
child-daddy509,daddy i wanna play ball,daddy
child-daddy510,daddy xxx brush naima's teeth,daddy
child-daddy511,i talk to daddy,daddy
