age,predicted,std.error,conf.low,conf.high,group,Predictor,level
-0.928,0.6341613233227912,0.4346565205613387,0.4251174652904061,0.8025045595745851,1,Pitch range,Prosodic
-0.927,0.6341617481260564,0.4346557907880685,0.42511826234592476,0.8025046230841121,1,Pitch range,Prosodic
-0.926,0.634162172929113,0.4346550617539935,0.4251190590477574,0.8025046868232446,1,Pitch range,Prosodic
-0.925,0.6341625977319607,0.43465433345911736,0.4251198553959014,0.8025047507919837,1,Pitch range,Prosodic
-0.924,0.6341630225345998,0.434653605903444,0.42512065139035493,0.8025048149903303,1,Pitch range,Prosodic
-0.923,0.6341634473370302,0.4346528790869769,0.4251214470311156,0.8025048794182856,1,Pitch range,Prosodic
-0.922,0.6341638721392518,0.43465215300971993,0.4251222423181808,0.8025049440758505,1,Pitch range,Prosodic
-0.921,0.6341642969412646,0.4346514276716767,0.4251230372515484,0.8025050089630257,1,Pitch range,Prosodic
-0.92,0.6341647217430689,0.434650703072851,0.42512383183121627,0.8025050740798125,1,Pitch range,Prosodic
-0.919,0.6341651465446644,0.43464997921324644,0.4251246260571819,0.8025051394262118,1,Pitch range,Prosodic
-0.918,0.6341655713460511,0.43464925609286675,0.425125419929443,0.8025052050022246,1,Pitch range,Prosodic
-0.917,0.6341659961472292,0.4346485337117156,0.42512621344799756,0.8025052708078518,1,Pitch range,Prosodic
-0.916,0.6341664209481986,0.4346478120697967,0.42512700661284314,0.8025053368430943,1,Pitch range,Prosodic
-0.915,0.6341668457489593,0.4346470911671137,0.4251277994239773,0.8025054031079535,1,Pitch range,Prosodic
-0.914,0.6341672705495112,0.4346463710036704,0.42512859188139784,0.8025054696024296,1,Pitch range,Prosodic
-0.913,0.6341676953498544,0.43464565157947027,0.42512938398510264,0.8025055363265243,1,Pitch range,Prosodic
-0.912,0.6341681201499888,0.4346449328945171,0.42513017573508916,0.8025056032802382,1,Pitch range,Prosodic
-0.911,0.6341685449499147,0.4346442149488146,0.42513096713135545,0.8025056704635725,1,Pitch range,Prosodic
-0.91,0.6341689697496317,0.4346434977423663,0.42513175817389887,0.8025057378765277,1,Pitch range,Prosodic
-0.909,0.63416939454914,0.4346427812751761,0.4251325488627174,0.8025058055191052,1,Pitch range,Prosodic
-0.908,0.6341698193484395,0.4346420655472473,0.42513333919780866,0.8025058733913057,1,Pitch range,Prosodic
-0.907,0.6341702441475304,0.43464135055858383,0.42513412917917043,0.8025059414931305,1,Pitch range,Prosodic
-0.906,0.6341706689464125,0.43464063630918925,0.4251349188068004,0.8025060098245801,1,Pitch range,Prosodic
-0.905,0.6341710937450861,0.4346399227990672,0.42513570808069656,0.8025060783856559,1,Pitch range,Prosodic
-0.904,0.6341715185435507,0.43463921002822137,0.4251364970008562,0.8025061471763585,1,Pitch range,Prosodic
-0.903,0.6341719433418067,0.4346384979966553,0.42513728556727737,0.802506216196689,1,Pitch range,Prosodic
-0.902,0.6341723681398539,0.43463778670437275,0.4251380737799576,0.8025062854466483,1,Pitch range,Prosodic
-0.901,0.6341727929376926,0.43463707615137726,0.425138861638895,0.8025063549262375,1,Pitch range,Prosodic
-0.9,0.6341732177353223,0.43463636633767244,0.4251396491440869,0.8025064246354573,1,Pitch range,Prosodic
-0.899,0.6341736425327433,0.4346356572632619,0.42514043629553133,0.8025064945743087,1,Pitch range,Prosodic
-0.898,0.6341740673299557,0.4346349489281494,0.42514122309322594,0.8025065647427928,1,Pitch range,Prosodic
-0.897,0.6341744921269594,0.4346342413323384,0.4251420095371686,0.8025066351409104,1,Pitch range,Prosodic
-0.896,0.6341749169237544,0.43463353447583264,0.42514279562735685,0.8025067057686626,1,Pitch range,Prosodic
-0.895,0.6341753417203405,0.4346328283586356,0.4251435813637885,0.80250677662605,1,Pitch range,Prosodic
-0.894,0.634175766516718,0.43463212298075093,0.42514436674646144,0.8025068477130738,1,Pitch range,Prosodic
-0.893,0.6341761913128867,0.43463141834218233,0.4251451517753732,0.8025069190297348,1,Pitch range,Prosodic
-0.892,0.6341766161088467,0.4346307144429332,0.4251459364505218,0.8025069905760341,1,Pitch range,Prosodic
-0.891,0.6341770409045979,0.4346300112830073,0.4251467207719049,0.8025070623519724,1,Pitch range,Prosodic
-0.89,0.6341774657001406,0.43462930886240814,0.42514750473952034,0.802507134357551,1,Pitch range,Prosodic
-0.889,0.6341778904954741,0.4346286071811393,0.4251482883533655,0.8025072065927703,1,Pitch range,Prosodic
-0.888,0.6341783152905993,0.43462790623920444,0.4251490716134387,0.8025072790576318,1,Pitch range,Prosodic
-0.887,0.6341787400855157,0.43462720603660704,0.4251498545197376,0.80250735175213594,1,Pitch range,Prosodic
-0.886,0.6341791648802232,0.4346265065733507,0.4251506370722596,0.8025074246762838,1,Pitch range,Prosodic
-0.885,0.6341795896747222,0.43462580784943905,0.4251514192710029,0.8025074978300765,1,Pitch range,Prosodic
-0.884,0.6341800144690122,0.43462510986487557,0.4251522011159649,0.8025075712135145,1,Pitch range,Prosodic
-0.883,0.6341804392630936,0.4346244126196639,0.4251529826071438,0.8025076448265991,1,Pitch range,Prosodic
-0.882,0.6341808640569663,0.4346237161138075,0.4251537637445371,0.802507718669331,1,Pitch range,Prosodic
-0.881,0.6341812888506302,0.43462302034731004,0.42515454452814266,0.8025077927417114,1,Pitch range,Prosodic
-0.88,0.6341817136440854,0.434622325320175,0.4251553249579582,0.8025078670437409,1,Pitch range,Prosodic
-0.879,0.6341821384373317,0.43462163103240586,0.42515610503398155,0.8025079415754204,1,Pitch range,Prosodic
-0.878,0.6341825632303696,0.4346209374840063,0.4251568847562108,0.8025080163367512,1,Pitch range,Prosodic
-0.877,0.6341829880231985,0.43462024467497984,0.42515766412464323,0.8025080913277337,1,Pitch range,Prosodic
-0.876,0.6341834128158187,0.43461955260533,0.42515844313927686,0.8025081665483692,1,Pitch range,Prosodic
-0.875,0.6341838376082303,0.4346188612750602,0.4251592218001096,0.8025082419986583,1,Pitch range,Prosodic
-0.874,0.634184262400433,0.43461817068417413,0.4251600001071391,0.8025083176786021,1,Pitch range,Prosodic
-0.873,0.634184687192427,0.4346174808326752,0.4251607780603633,0.8025083935882015,1,Pitch range,Prosodic
-0.872,0.6341851119842123,0.434616791720567,0.42516155565977987,0.8025084697274572,1,Pitch range,Prosodic
-0.871,0.6341855367757888,0.434616103347853,0.42516233290538663,0.8025085460963701,1,Pitch range,Prosodic
-0.87,0.6341859615671566,0.43461541571453677,0.4251631097971813,0.8025086226949413,1,Pitch range,Prosodic
-0.869,0.6341863863583157,0.4346147288206218,0.42516388633516206,0.8025086995231717,1,Pitch range,Prosodic
-0.868,0.6341868111492659,0.43461404266611153,0.4251646625193263,0.8025087765810619,1,Pitch range,Prosodic
-0.867,0.6341872359400075,0.4346133572510096,0.42516543834967196,0.802508853868613,1,Pitch range,Prosodic
-0.866,0.6341876607305403,0.43461267257531927,0.4251662138261971,0.8025089313858259,1,Pitch range,Prosodic
-0.865,0.6341880855208644,0.4346119886390443,0.4251669889488992,0.8025090091327014,1,Pitch range,Prosodic
-0.864,0.6341885103109798,0.434611305442188,0.4251677637177763,0.8025090871092405,1,Pitch range,Prosodic
-0.863,0.6341889351008864,0.434610622984754,0.42516853813282607,0.8025091653154439,1,Pitch range,Prosodic
-0.862,0.6341893598905842,0.4346099412667457,0.4251693121940464,0.8025092437513126,1,Pitch range,Prosodic
-0.861,0.6341897846800733,0.43460926028816654,0.4251700859014351,0.8025093224168472,1,Pitch range,Prosodic
-0.86,0.6341902094693537,0.4346085800490201,0.4251708592549902,0.8025094013120492,1,Pitch range,Prosodic
-0.859,0.6341906342584251,0.4346079005493097,0.4251716322547091,0.8025094804369187,1,Pitch range,Prosodic
-0.858,0.634191059047288,0.434607221789039,0.42517240490058994,0.8025095597914571,1,Pitch range,Prosodic
-0.857,0.6341914838359421,0.4346065437682113,0.42517317719263065,0.8025096393756652,1,Pitch range,Prosodic
-0.856,0.6341919086243875,0.43460586648683014,0.42517394913082873,0.8025097191895437,1,Pitch range,Prosodic
-0.855,0.634192333412624,0.434605189944899,0.42517472071518225,0.8025097992330935,1,Pitch range,Prosodic
-0.854,0.6341927582006519,0.4346045141424213,0.42517549194568904,0.8025098795063156,1,Pitch range,Prosodic
-0.853,0.6341931829884709,0.4346038390794005,0.42517626282234683,0.8025099600092107,1,Pitch range,Prosodic
-0.852,0.6341936077760814,0.43460316475583993,0.4251770333451537,0.8025100407417798,1,Pitch range,Prosodic
-0.851,0.634194032563483,0.4346024911717432,0.4251778035141072,0.8025101217040236,1,Pitch range,Prosodic
-0.85,0.6341944573506758,0.4346018183271137,0.4251785733292054,0.8025102028959431,1,Pitch range,Prosodic
-0.849,0.63419488213766,0.43460114622195484,0.425179342790446,0.802510284317539,1,Pitch range,Prosodic
-0.848,0.6341953069244352,0.43460047485627007,0.42518011189782673,0.8025103659688122,1,Pitch range,Prosodic
-0.847,0.6341957317110017,0.4345998042300628,0.42518088065134585,0.8025104478497638,1,Pitch range,Prosodic
-0.846,0.6341961564973596,0.4345991343433364,0.425181649051001,0.8025105299603943,1,Pitch range,Prosodic
-0.845,0.6341965812835086,0.43459846519609446,0.42518241709678994,0.8025106123007046,1,Pitch range,Prosodic
-0.844,0.634197006069449,0.4345977967883402,0.4251831847887107,0.8025106948706958,1,Pitch range,Prosodic
-0.843,0.6341974308551804,0.43459712912007714,0.4251839521267609,0.8025107776703685,1,Pitch range,Prosodic
-0.842,0.6341978556407032,0.4345964621913087,0.4251847191109386,0.8025108606997235,1,Pitch range,Prosodic
-0.841,0.6341982804260173,0.4345957960020382,0.4251854857412419,0.802510943958762,1,Pitch range,Prosodic
-0.84,0.6341987052111226,0.4345951305522691,0.42518625201766824,0.8025110274474845,1,Pitch range,Prosodic
-0.839,0.634199129996019,0.4345944658420048,0.4251870179402155,0.8025111111658918,1,Pitch range,Prosodic
-0.838,0.6341995547807068,0.4345938018712487,0.42518778350888187,0.8025111951139848,1,Pitch range,Prosodic
-0.837,0.6341999795651858,0.43459313864000415,0.4251885487236651,0.8025112792917647,1,Pitch range,Prosodic
